date,type,description,detailUrl,pdfUrl,xlsUrl
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038479,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/5e2d7853-2923-4aa9-a442-30f35f3ffc9c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/83553a8c-7c47-49d3-a6f3-5b2e3cd87650.xls
"Jan 05, 2026",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=19038608,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/91143f86-13be-4a03-a7c2-b0dc674dd928.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/973a0864-46db-4f79-8041-75ebe9c5eac0.xls
"Dec 16, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18999821,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/ae0e48f9-e16f-4c8b-9f62-6e5bb4894644.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/4936a608-a3c1-4b94-872b-70b302b0814d.xls
"Dec 08, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18982376,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/b45084a9-2a58-4584-baa0-5a26632a95b3.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/23e9c318-61de-4b44-90d7-cce9c319c809.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891437,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/db8f9d5f-1744-4e73-a66d-131e4d9c7cf3.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/25e58e68-b5de-405a-aaa3-14135057b106.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891461,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/9c2e8619-e43c-42a4-ab2a-5f4b92c40a6d.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/83a1f218-188a-4b09-8ae7-00fe9096388a.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891502,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/14920337-34ec-4dfa-b71d-d2ebf7934cdb.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/0d67308a-6735-459d-b3e6-fa3691afaf89.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891306,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/2933f09a-91f3-4f85-814a-d993efccc435.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1396d761-f0b7-4a6c-a2fb-350cf20d6e28.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891392,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/c76e50de-ef30-4073-95d4-ea7884b0a6af.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/6df9c0b6-15d8-44ac-82c4-839d764ce52a.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891207,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/8b6af8e4-40e0-4cf5-91a2-371e313bd26c.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/df0df6b7-0216-4892-9d2d-7822caa2f70d.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891260,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1b47ce02-1bbf-4c35-b8b5-6c780969e444.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/1a19b4a4-a893-42a5-9793-f4c35d88f4da.xls
"Nov 04, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18891144,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/17e75dd5-1a2c-4258-a332-9e518332738e.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/e0fe1f55-86be-4bec-b5dc-0242786ae4c3.xls
"Oct 24, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18862833,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/cfd382ee-9c87-424e-a75e-82dbb5604085.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/28d5c3af-bef0-47c3-b215-c60eba75f54a.xls
"Oct 24, 2025",Form 4,Statement of Changes in Beneficial Ownership,https://ir.americanexpress.com/financials/earnings-and-sec-filings/sec-filings-details/default.aspx?FilingId=18862852,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/d813c6a2-3a21-4573-a4cb-33a2dbae21b1.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/4a799188-fbe4-41cf-ae6b-44ec6f0e1ceb.xls
