date,type,description,company,document
2018-08-29,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000106/
2018-08-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000104/
2018-08-03,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465918049532/
2018-07-24,10-Q,Quarterly Report - Q2 2018,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/
2018-07-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000090/
2018-07-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000087/
2018-06-28,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000085/
2018-06-20,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000079/
2018-06-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000074/
2018-05-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465918034065/
2018-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000071/
2018-05-08,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000069/
2018-04-25,10-Q,Quarterly Report - Q1 2018,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/
2018-04-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000056/
2018-04-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000054/
2018-03-28,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000050/
2018-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000047/
2018-03-13,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000045/
2018-03-09,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000042/
2018-03-01,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000040/
2018-02-27,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465918012870/
2018-02-16,10-K,Annual Report for FY 2017,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/
2018-02-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000028/
2018-01-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000015/
2018-01-18,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000012/
2018-01-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000007/
2018-01-03,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496218000002/
2017-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496217000116/
2017-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496217000114/
2017-10-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000110465917064573/
